input:survey_PMPS_position_map_radec,input:survey_SMPS_position_map_radec,input:survey_HTRU_position_map_radec,input:survey_PMPS_velocity_map_vra,input:survey_SMPS_velocity_map_vra,input:survey_HTRU_velocity_map_vra,input:survey_PMPS_velocity_map_vdec,input:survey_SMPS_velocity_map_vdec,input:survey_HTRU_velocity_map_vdec,input:survey_PMPS_ppdot_map,input:survey_SMPS_ppdot_map,input:survey_HTRU_ppdot_map,input:survey_PMPS_ppdot_map_fluxes,input:survey_SMPS_ppdot_map_fluxes,input:survey_HTRU_ppdot_map_fluxes,B_initial_log10_mean,P_initial_log10_mean
data/example_generator_magrot/survey_PMPS_position_map_radec_2.npy,data/example_generator_magrot/survey_SMPS_position_map_radec_2.npy,data/example_generator_magrot/survey_HTRU_position_map_radec_2.npy,data/example_generator_magrot/survey_PMPS_velocity_map_vra_2.npy,data/example_generator_magrot/survey_SMPS_velocity_map_vra_2.npy,data/example_generator_magrot/survey_HTRU_velocity_map_vra_2.npy,data/example_generator_magrot/survey_PMPS_velocity_map_vdec_2.npy,data/example_generator_magrot/survey_SMPS_velocity_map_vdec_2.npy,data/example_generator_magrot/survey_HTRU_velocity_map_vdec_2.npy,data/example_generator_magrot/survey_PMPS_ppdot_map_2.npy,data/example_generator_magrot/survey_SMPS_ppdot_map_2.npy,data/example_generator_magrot/survey_HTRU_ppdot_map_2.npy,data/example_generator_magrot/survey_PMPS_ppdot_map_fluxes_2.npy,data/example_generator_magrot/survey_SMPS_ppdot_map_fluxes_2.npy,data/example_generator_magrot/survey_HTRU_ppdot_map_fluxes_2.npy,13.556881077862638,-0.7423557048782589
data/example_generator_magrot/survey_PMPS_position_map_radec_3.npy,data/example_generator_magrot/survey_SMPS_position_map_radec_3.npy,data/example_generator_magrot/survey_HTRU_position_map_radec_3.npy,data/example_generator_magrot/survey_PMPS_velocity_map_vra_3.npy,data/example_generator_magrot/survey_SMPS_velocity_map_vra_3.npy,data/example_generator_magrot/survey_HTRU_velocity_map_vra_3.npy,data/example_generator_magrot/survey_PMPS_velocity_map_vdec_3.npy,data/example_generator_magrot/survey_SMPS_velocity_map_vdec_3.npy,data/example_generator_magrot/survey_HTRU_velocity_map_vdec_3.npy,data/example_generator_magrot/survey_PMPS_ppdot_map_3.npy,data/example_generator_magrot/survey_SMPS_ppdot_map_3.npy,data/example_generator_magrot/survey_HTRU_ppdot_map_3.npy,data/example_generator_magrot/survey_PMPS_ppdot_map_fluxes_3.npy,data/example_generator_magrot/survey_SMPS_ppdot_map_fluxes_3.npy,data/example_generator_magrot/survey_HTRU_ppdot_map_fluxes_3.npy,12.97324431432589,-1.3295442643349915
data/example_generator_magrot/survey_PMPS_position_map_radec_4.npy,data/example_generator_magrot/survey_SMPS_position_map_radec_4.npy,data/example_generator_magrot/survey_HTRU_position_map_radec_4.npy,data/example_generator_magrot/survey_PMPS_velocity_map_vra_4.npy,data/example_generator_magrot/survey_SMPS_velocity_map_vra_4.npy,data/example_generator_magrot/survey_HTRU_velocity_map_vra_4.npy,data/example_generator_magrot/survey_PMPS_velocity_map_vdec_4.npy,data/example_generator_magrot/survey_SMPS_velocity_map_vdec_4.npy,data/example_generator_magrot/survey_HTRU_velocity_map_vdec_4.npy,data/example_generator_magrot/survey_PMPS_ppdot_map_4.npy,data/example_generator_magrot/survey_SMPS_ppdot_map_4.npy,data/example_generator_magrot/survey_HTRU_ppdot_map_4.npy,data/example_generator_magrot/survey_PMPS_ppdot_map_fluxes_4.npy,data/example_generator_magrot/survey_SMPS_ppdot_map_fluxes_4.npy,data/example_generator_magrot/survey_HTRU_ppdot_map_fluxes_4.npy,13.196267645787076,-1.458994983333337
data/example_generator_magrot/survey_PMPS_position_map_radec_5.npy,data/example_generator_magrot/survey_SMPS_position_map_radec_5.npy,data/example_generator_magrot/survey_HTRU_position_map_radec_5.npy,data/example_generator_magrot/survey_PMPS_velocity_map_vra_5.npy,data/example_generator_magrot/survey_SMPS_velocity_map_vra_5.npy,data/example_generator_magrot/survey_HTRU_velocity_map_vra_5.npy,data/example_generator_magrot/survey_PMPS_velocity_map_vdec_5.npy,data/example_generator_magrot/survey_SMPS_velocity_map_vdec_5.npy,data/example_generator_magrot/survey_HTRU_velocity_map_vdec_5.npy,data/example_generator_magrot/survey_PMPS_ppdot_map_5.npy,data/example_generator_magrot/survey_SMPS_ppdot_map_5.npy,data/example_generator_magrot/survey_HTRU_ppdot_map_5.npy,data/example_generator_magrot/survey_PMPS_ppdot_map_fluxes_5.npy,data/example_generator_magrot/survey_SMPS_ppdot_map_fluxes_5.npy,data/example_generator_magrot/survey_HTRU_ppdot_map_fluxes_5.npy,12.002233373316034,-1.2248785413104564
data/example_generator_magrot/survey_PMPS_position_map_radec_6.npy,data/example_generator_magrot/survey_SMPS_position_map_radec_6.npy,data/example_generator_magrot/survey_HTRU_position_map_radec_6.npy,data/example_generator_magrot/survey_PMPS_velocity_map_vra_6.npy,data/example_generator_magrot/survey_SMPS_velocity_map_vra_6.npy,data/example_generator_magrot/survey_HTRU_velocity_map_vra_6.npy,data/example_generator_magrot/survey_PMPS_velocity_map_vdec_6.npy,data/example_generator_magrot/survey_SMPS_velocity_map_vdec_6.npy,data/example_generator_magrot/survey_HTRU_velocity_map_vdec_6.npy,data/example_generator_magrot/survey_PMPS_ppdot_map_6.npy,data/example_generator_magrot/survey_SMPS_ppdot_map_6.npy,data/example_generator_magrot/survey_HTRU_ppdot_map_6.npy,data/example_generator_magrot/survey_PMPS_ppdot_map_fluxes_6.npy,data/example_generator_magrot/survey_SMPS_ppdot_map_fluxes_6.npy,data/example_generator_magrot/survey_HTRU_ppdot_map_fluxes_6.npy,13.007493710667562,-0.3263684883178612
data/example_generator_magrot/survey_PMPS_position_map_radec_7.npy,data/example_generator_magrot/survey_SMPS_position_map_radec_7.npy,data/example_generator_magrot/survey_HTRU_position_map_radec_7.npy,data/example_generator_magrot/survey_PMPS_velocity_map_vra_7.npy,data/example_generator_magrot/survey_SMPS_velocity_map_vra_7.npy,data/example_generator_magrot/survey_HTRU_velocity_map_vra_7.npy,data/example_generator_magrot/survey_PMPS_velocity_map_vdec_7.npy,data/example_generator_magrot/survey_SMPS_velocity_map_vdec_7.npy,data/example_generator_magrot/survey_HTRU_velocity_map_vdec_7.npy,data/example_generator_magrot/survey_PMPS_ppdot_map_7.npy,data/example_generator_magrot/survey_SMPS_ppdot_map_7.npy,data/example_generator_magrot/survey_HTRU_ppdot_map_7.npy,data/example_generator_magrot/survey_PMPS_ppdot_map_fluxes_7.npy,data/example_generator_magrot/survey_SMPS_ppdot_map_fluxes_7.npy,data/example_generator_magrot/survey_HTRU_ppdot_map_fluxes_7.npy,12.06318495742961,-1.3376720561853588
data/example_generator_magrot/survey_PMPS_position_map_radec_8.npy,data/example_generator_magrot/survey_SMPS_position_map_radec_8.npy,data/example_generator_magrot/survey_HTRU_position_map_radec_8.npy,data/example_generator_magrot/survey_PMPS_velocity_map_vra_8.npy,data/example_generator_magrot/survey_SMPS_velocity_map_vra_8.npy,data/example_generator_magrot/survey_HTRU_velocity_map_vra_8.npy,data/example_generator_magrot/survey_PMPS_velocity_map_vdec_8.npy,data/example_generator_magrot/survey_SMPS_velocity_map_vdec_8.npy,data/example_generator_magrot/survey_HTRU_velocity_map_vdec_8.npy,data/example_generator_magrot/survey_PMPS_ppdot_map_8.npy,data/example_generator_magrot/survey_SMPS_ppdot_map_8.npy,data/example_generator_magrot/survey_HTRU_ppdot_map_8.npy,data/example_generator_magrot/survey_PMPS_ppdot_map_fluxes_8.npy,data/example_generator_magrot/survey_SMPS_ppdot_map_fluxes_8.npy,data/example_generator_magrot/survey_HTRU_ppdot_map_fluxes_8.npy,12.940599104074812,-0.4099787608503009
data/example_generator_magrot/survey_PMPS_position_map_radec_9.npy,data/example_generator_magrot/survey_SMPS_position_map_radec_9.npy,data/example_generator_magrot/survey_HTRU_position_map_radec_9.npy,data/example_generator_magrot/survey_PMPS_velocity_map_vra_9.npy,data/example_generator_magrot/survey_SMPS_velocity_map_vra_9.npy,data/example_generator_magrot/survey_HTRU_velocity_map_vra_9.npy,data/example_generator_magrot/survey_PMPS_velocity_map_vdec_9.npy,data/example_generator_magrot/survey_SMPS_velocity_map_vdec_9.npy,data/example_generator_magrot/survey_HTRU_velocity_map_vdec_9.npy,data/example_generator_magrot/survey_PMPS_ppdot_map_9.npy,data/example_generator_magrot/survey_SMPS_ppdot_map_9.npy,data/example_generator_magrot/survey_HTRU_ppdot_map_9.npy,data/example_generator_magrot/survey_PMPS_ppdot_map_fluxes_9.npy,data/example_generator_magrot/survey_SMPS_ppdot_map_fluxes_9.npy,data/example_generator_magrot/survey_HTRU_ppdot_map_fluxes_9.npy,12.340833635328762,-0.6776764949801627
data/example_generator_magrot/survey_PMPS_position_map_radec_11.npy,data/example_generator_magrot/survey_SMPS_position_map_radec_11.npy,data/example_generator_magrot/survey_HTRU_position_map_radec_11.npy,data/example_generator_magrot/survey_PMPS_velocity_map_vra_11.npy,data/example_generator_magrot/survey_SMPS_velocity_map_vra_11.npy,data/example_generator_magrot/survey_HTRU_velocity_map_vra_11.npy,data/example_generator_magrot/survey_PMPS_velocity_map_vdec_11.npy,data/example_generator_magrot/survey_SMPS_velocity_map_vdec_11.npy,data/example_generator_magrot/survey_HTRU_velocity_map_vdec_11.npy,data/example_generator_magrot/survey_PMPS_ppdot_map_11.npy,data/example_generator_magrot/survey_SMPS_ppdot_map_11.npy,data/example_generator_magrot/survey_HTRU_ppdot_map_11.npy,data/example_generator_magrot/survey_PMPS_ppdot_map_fluxes_11.npy,data/example_generator_magrot/survey_SMPS_ppdot_map_fluxes_11.npy,data/example_generator_magrot/survey_HTRU_ppdot_map_fluxes_11.npy,13.163847866769366,-1.1773449759760428
data/example_generator_magrot/survey_PMPS_position_map_radec_12.npy,data/example_generator_magrot/survey_SMPS_position_map_radec_12.npy,data/example_generator_magrot/survey_HTRU_position_map_radec_12.npy,data/example_generator_magrot/survey_PMPS_velocity_map_vra_12.npy,data/example_generator_magrot/survey_SMPS_velocity_map_vra_12.npy,data/example_generator_magrot/survey_HTRU_velocity_map_vra_12.npy,data/example_generator_magrot/survey_PMPS_velocity_map_vdec_12.npy,data/example_generator_magrot/survey_SMPS_velocity_map_vdec_12.npy,data/example_generator_magrot/survey_HTRU_velocity_map_vdec_12.npy,data/example_generator_magrot/survey_PMPS_ppdot_map_12.npy,data/example_generator_magrot/survey_SMPS_ppdot_map_12.npy,data/example_generator_magrot/survey_HTRU_ppdot_map_12.npy,data/example_generator_magrot/survey_PMPS_ppdot_map_fluxes_12.npy,data/example_generator_magrot/survey_SMPS_ppdot_map_fluxes_12.npy,data/example_generator_magrot/survey_HTRU_ppdot_map_fluxes_12.npy,12.61496572161291,-1.1210676109147872
