PSRJ,RAJD,RAJD_err,DECJD,DECJD_err,PMRA,PMRA_err,PMDEC,PMDEC_err,PX,PX_err,POSEPOCH,REFERENCE FOR PROPER MOTION,CLASS,ANALYSIS_TYPE,P0,P0_err,P1,P1_err,DM,DM_err,DIST,DIST_DM,BSURF,ASSOC
,[deg],[deg],[deg],[deg],[mas/yr],[mas/yr],[mas/yr],[mas/yr],[mas],[mas],[MJD],(only if different from the ATNF),,,[s],[s],[s/s],[s/s],[cm^-3pc],[cm^-3pc],[kpc],[kpc],[G],
J0014+4746,3.57396,0.00017,47.77594,8.3E-05,19.3,1.8,-19.7,1.5,NAN,0,49664,,PSR,,1.240699038946,1.1E-11,5.6446E-16,1.4E-19,30.405,0.013,1.78,1.776,847000000000,NAN
J0023+0923,5.82032559,3.7E-08,9.38996257,8.3E-08,-12.4,0.5,-6.1,0.1,0.4,0.3,56567,Perera+ 2019,PSR,,0.00305020310448,7E-18,1.14234E-20,4E-25,14.3281,4E-05,1.11,1.248,189000000,GRS:3FGL_J0023.4+0923[aaa+15]
J0024-7204ab,6.034006,2.1E-06,-72.0798894,5.6E-07,4.2,0.6,-2.9,0.5,NAN,0,51600,,PSR,,0.003704639494799,6E-16,9.82E-21,9E-24,24.37,0.02,2.54,2.54,193000000,GC:47Tuc
J0024-7204C,5.9598108,4.2E-07,-72.075418,1.1E-07,5.2,0.1,-3.1,0.1,NAN,0,51600,,PSR,,0.005756779995516,1.4E-16,-4.98503E-20,2E-24,24.5955,0.0008,4.69,2.594,NAN,GC:47Tuc
J0024-7204D,6.0578372,2.5E-07,-72.07884789,5.6E-08,4.24,0.07,-2.24,0.05,NAN,0,51600,,PSR,,0.005357573284866,9E-17,-3.422E-21,9E-25,24.7432,0.0009,4.69,2.631,NAN,GC:47Tuc
J0024-7204E,6.046272,2.1E-07,-72.08893033,5.6E-08,6.15,0.03,-2.35,0.06,NAN,0,51600,,PSR,,0.003536329152762,4E-17,9.85103E-20,6E-25,24.236,0.002,4.69,2.509,597000000,GC:47Tuc
J0024-7204F,6.0160645,4.2E-07,-72.07856064,5.6E-08,4.52,0.08,-2.5,0.05,NAN,0,51600,,PSR,,0.002623579352513,4E-17,6.45029E-20,7E-25,24.382,0.005,4.69,2.543,416000000,GC:47Tuc
J0024-7204G,6.0331679,4.2E-07,-72.07769528,1.4E-07,4.5,0.1,-2.9,0.1,NAN,0,51600,,PSR,,0.004040379143565,1.4E-16,-4.21584E-20,1.7E-24,24.436,0.004,4.69,2.556,NAN,GC:47Tuc
J0024-7204H,6.02793,8.3E-07,-72.06855742,1.7E-07,5.1,0.2,-2.8,0.2,NAN,0,51600,,PSR,,0.00321034070935,1.1E-16,-1.8294E-21,1.1E-24,24.369,0.008,4.69,2.541,NAN,GC:47Tuc
J0024-7204I,6.0330612,8.3E-07,-72.07768931,1.9E-07,5,0.2,-2.1,0.2,NAN,0,51600,,PSR,,0.003484992061663,1.3E-16,-4.5874E-20,3E-24,24.43,0.01,4.69,2.555,NAN,GC:47Tuc
