t[yr],B[G],L[erg/s],P_fill[s],Pdot_fill[s/s],chi[rad],P_vac[s],Pdot_vac[s/s],P_vacObs[s],Pdot_vacObs[s/s],bpol,etor,btorAvg
0.0,1000000000000000.0,3.6216344e+36,0.001,1.0161201344294528e-06,1.0471975511965976,0.001,2.9032003840841504e-07,0.001,6.484517985106097e-07,300000000000000.0,50,52000000000000.0
0.99999997765,996362020000000.0,6.7868373e+35,0.20216316289310776,3.0751406652003363e-09,-12.283860145571417,0.12939390510449916,2.2290578214192686e-09,0.19490207038462135,3.305363112611626e-09,300000000000000.0,50,52000000000000.0
2.0119999776,993004430000000.0,6.7242924e+35,0.28251031450372516,2.114678341222503e-09,-12.358278603125333,0.18753858358278822,1.5275896395597012e-09,0.2813274521487354,2.27449970497019e-09,300000000000000.0,50,52000000000000.0
3.0299999776,989777090000000.0,6.7627167e+35,0.34341799942690276,1.7066738355299906e-09,-12.39347175881281,0.23148018622800237,1.2295969154839916e-09,0.3467989420152455,1.833156060120711e-09,300000000000000.0,50,52000000000000.0
4.0669999776,986612290000000.0,6.8089369e+35,0.39517936327638015,1.4636829918679545e-09,-12.415372713604567,0.2687355441569929,1.0523712578619155e-09,0.40235937763204804,1.569931133385682e-09,300000000000000.0,50,52000000000000.0
5.1019999776,983568720000000.0,6.7321988e+35,0.44032163227179366,1.3000774888627056e-09,-12.43046780797493,0.3011678623489945,9.332568954744123e-10,0.4507508718961073,1.3927523873613754e-09,300000000000000.0,50,52000000000000.0
6.1549999776,980579880000000.0,6.6617649e+35,0.4815479176004971,1.178157705107957e-09,-12.44187529359744,0.3307442239987945,8.446476719432304e-10,0.4948946123684057,1.2608278302748578e-09,300000000000000.0,50,52000000000000.0
7.2079999776,977689970000000.0,6.566253e+35,0.519207981830444,1.0839999490912666e-09,-12.450764482002803,0.3577305697431235,7.76326448117407e-10,0.5351811305824424,1.159045045887882e-09,300000000000000.0,50,52000000000000.0
8.2779999776,974849690000000.0,6.487298e+35,0.5545977126376809,1.0073365171927696e-09,-12.458046788817503,0.38306540863398597,7.207808336668564e-10,0.5730079881210591,1.0762574131799439e-09,300000000000000.0,50,52000000000000.0
9.3209999776,972164330000000.0,6.4095284e+35,0.5868264387460486,9.45619428725304e-10,-12.463933865800703,0.40611862936647325,6.761227487768108e-10,0.607432171190744,1.0096744116757836e-09,300000000000000.0,50,52000000000000.0
