t[yr],B[G],L[erg/s],P_fill[s],Pdot_fill[s/s],chi[rad],P_vac[s],Pdot_vac[s/s],P_vacObs[s],Pdot_vacObs[s/s],bpol,etor,btorAvg
0.0,1000000000000.0,1.7692952e+36,0.001,1.0185909011354602e-12,1.0471975511965976,0.001,2.910259717529886e-13,0.001,2.441110472826105e-13,300000000000000.0,50,52000000000000.0
1.0,999394230000.0,8.7436314e+34,0.0010284434603682938,9.85912779121597e-13,1.0402175742525832,0.0010082220489504535,2.8833901609227177e-13,0.0010069011108054117,2.421745315871023e-13,300000000000000.0,50,52000000000000.0
2.0,999310790000.0,8.4727266e+34,0.0010590307799659335,9.537233309954701e-13,1.0328376370146857,0.0010172745787660768,2.8572439993210943e-13,0.0010145095566106961,2.40317315551157e-13,300000000000000.0,50,52000000000000.0
3.0,999227250000.0,8.3222667e+34,0.0010886535558589676,9.24302819783e-13,1.0258102269790563,0.0010262463303203977,2.8317916054386253e-13,0.0010220605119087619,2.385019767470284e-13,300000000000000.0,50,52000000000000.0
4.0,999143510000.0,8.1981855e+34,0.0011173917665574218,8.972757535125993e-13,1.0191011136995918,0.0010351393643795875,2.806992838660994e-13,0.0010295552150785614,2.367261124637964e-13,300000000000000.0,50,52000000000000.0
5.0,999059590000.0,8.0758831e+34,0.0011453156583960027,8.723349979665327e-13,1.0126807272715974,0.0010439557212586566,2.7828198086883305e-13,0.0010369949078221164,2.3498829125389694e-13,300000000000000.0,50,52000000000000.0
6.0,998975550000.0,7.9463829e+34,0.0011724853985164362,8.492290040642104e-13,1.0065240102260407,0.0010526972205139764,2.759247517611624e-13,0.0010443806900633556,2.3328723442107077e-13,300000000000000.0,50,52000000000000.0
7.0,998891450000.0,7.8106204e+34,0.001198955873768214,8.27742679248256e-13,1.0006085286579238,0.0010613657980026085,2.7362509371342216e-13,0.001051713761297271,2.3162163700986177e-13,300000000000000.0,50,52000000000000.0
8.0,998807340000.0,7.6741793e+34,0.0012247739593147181,8.07698375677181e-13,0.9949152601105841,0.0010699631168972436,2.713807907587079e-13,0.0010589951387055645,2.299903454130332e-13,300000000000000.0,50,52000000000000.0
9.0,998723260000.0,7.5366729e+34,0.0012499828612207904,7.88941733220226e-13,0.9894269708137315,0.0010784909311877665,2.6918962475009394e-13,0.0010662259189368416,2.283921822857727e-13,300000000000000.0,50,52000000000000.0
10.0,998639240000.0,7.3961263e+34,0.0012746210153508162,7.713410982135164e-13,0.9841284969284884,0.0010869508970597155,2.670495259454012e-13,0.001073407140801082,2.2682604296203856e-13,300000000000000.0,50,52000000000000.0
20.0,997805990000.0,6.0550356e+34,0.0014958034789857415,6.398612182599391e-13,0.939209961998053,0.00116813240477452,2.4807623945975206e-13,0.0011426926032294777,2.1271759572116696e-13,300000000000000.0,50,52000000000000.0
30.0,997011870000.0,4.6575211e+34,0.0016839758496526931,5.558956119481651e-13,0.9042644469220462,0.0012439347426592524,2.325886124930702e-13,0.0012079286458911143,2.0090942707220923e-13,300000000000000.0,50,52000000000000.0
40.0,996260830000.0,3.9299952e+34,0.0018499123334172437,4.964995337856588e-13,0.8755597248045299,0.001315288886686339,2.1963924399244309e-13,0.0012697409485016035,1.9084094866902897e-13,300000000000000.0,50,52000000000000.0
50.0,995539890000.0,3.5347082e+34,0.0019995802949409514,4.5172109707000994e-13,0.8511617206704438,0.0013828824381164374,2.0860183331821554e-13,0.0013286071455303184,1.8212193430611322e-13,300000000000000.0,50,52000000000000.0
60.0,994840840000.0,3.2871069e+34,0.002136719229671365,4.1644013737942875e-13,0.8299226950372239,0.0014472480444576857,1.990438195703589e-13,0.0013849077923614305,1.7447229889530913e-13,300000000000000.0,50,52000000000000.0
70.0,994159440000.0,3.1094249e+34,0.0022637973652813053,3.877609547875122e-13,0.8111159201232084,0.0015087915217684253,1.9066425912577893e-13,0.0014389383324117395,1.676917781461796e-13,300000000000000.0,50,52000000000000.0
